node_id,lat_centro,lon_centro,n_accidentes,n_graves,n_mortales,n_alcohol,sensores_imd_500m,idx_peligrosidad,categoria
PN_0061,40.421013224363186,-3.7080683312130827,85,15,0,2,64,0.2656,CRITICO
PN_0062,40.38984422039157,-3.672029454399707,76,12,0,8,33,0.2583,CRITICO
PN_0063,40.432144756602625,-3.655220746204071,82,11,0,8,85,0.2581,CRITICO
PN_0064,40.45298746566851,-3.7030494744046467,69,13,0,8,81,0.2571,CRITICO
PN_0065,40.4391538583888,-3.673159155538077,95,13,0,1,62,0.2566,CRITICO
PN_0066,40.43019819422271,-3.7118650433763167,102,10,0,4,81,0.2563,CRITICO
PN_0067,40.430248429651506,-3.66408996977313,78,7,1,3,62,0.2547,CRITICO
PN_0068,40.39531481879497,-3.72017470164783,82,13,0,4,50,0.2541,CRITICO
PN_0069,40.447005321392815,-3.7040005160519467,115,7,0,5,46,0.2538,CRITICO
PN_0070,40.437826885038284,-3.6862034895218896,84,10,0,8,71,0.252,CRITICO
PN_0071,40.41393730451647,-3.721030064056251,93,6,0,12,87,0.2511,CRITICO
PN_0072,40.39284168586178,-3.6760227444748614,113,7,0,5,52,0.2508,CRITICO
PN_0073,40.397720970701194,-3.7159916421483032,99,8,0,7,105,0.2504,CRITICO
PN_0074,40.404212172741104,-3.6810058488796424,86,13,0,2,23,0.2489,CRITICO
PN_0075,40.45726191877434,-3.7017343170321735,77,12,0,6,86,0.2487,CRITICO
PN_0076,40.47510351743208,-3.6869497639979416,116,8,0,2,48,0.2477,CRITICO
PN_0077,40.421446968232694,-3.6811233805332257,85,14,0,0,61,0.2454,CRITICO
PN_0078,40.40792531958466,-3.6648391946699914,87,13,0,1,90,0.2448,CRITICO
PN_0079,40.4139902279501,-3.7249272239188915,84,11,0,5,92,0.2444,CRITICO
PN_0080,40.365065027647304,-3.694055707054163,100,7,0,7,58,0.2427,CRITICO
PN_0081,40.40126655600622,-3.674917856508304,77,7,0,13,30,0.2421,CRITICO
PN_0082,40.43904338419603,-3.717890327516352,96,10,0,3,37,0.2419,CRITICO
PN_0083,40.36386466112945,-3.694041237999202,114,7,0,3,52,0.2412,CRITICO
PN_0084,40.42836920984931,-3.6992261133061977,75,12,0,5,32,0.2402,CRITICO
PN_0085,40.408366003641596,-3.691964062964197,92,11,0,2,52,0.2395,CRITICO
